"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"9",9,"carlitos",1323084232,484323,"05/12/2011 11:23","no",12,1.43,8.16,-94.4,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-20,2,24,1,602,-312,-128,21.7,-161,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,-0.02,-288,109,-122,-369,341,518,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.15463353,-70.42520377,-84.91563379,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,0,-232,47,-269,-549,292,-65,27.7,-63.8,-152,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,-0.02,193,204,-214,-16,653,476,"A"
"36",36,"carlitos",1323084233,412295,"05/12/2011 11:23","no",13,1.42,8.12,-94.3,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-21,3,21,-3,603,-319,-130,20.3,-161,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.02,-0.03,-289,111,-123,-368,340,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.07574259,-70.28271016,-85.07803122,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-233,47,-271,-554,295,-61,26.5,-63.8,-150,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0.02,-0.03,191,207,-215,-9,654,471,"A"
"39",39,"carlitos",1323084233,504293,"05/12/2011 11:23","no",13,1.4,8.04,-94.3,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-21,3,21,-2,601,-319,-130,20.2,-161,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0,-289,112,-122,-369,334,510,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.05217456,-70.49400371,-84.87393888,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,0,-234,47,-271,-563,287,-68,26.4,-63.9,-150,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,194,203,-213,-11,658,472,"A"
"50",50,"carlitos",1323084233,840318,"05/12/2011 11:23","no",13,1.3,7.68,-94.2,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-18,4,23,1,597,-316,-130,19.5,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-289,109,-125,-372,335,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.76151374,-70.32648299,-84.85114062,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,0,-231,49,-268,-555,293,-74,25.4,-63.8,-149,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.05,193,206,-215,-10,656,461,"A"
"53",53,"carlitos",1323084234,399,"05/12/2011 11:23","no",14,1.26,7.54,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.03,-19,3,22,-2,605,-311,-130,19.4,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.03,-287,108,-125,-371,342,508,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.71142288,-70.75201249,-84.4415855,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-233,49,-268,-553,290,-66,24.9,-63.8,-149,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.05,192,204,-217,-12,653,475,"A"
"58",58,"carlitos",1323084234,268317,"05/12/2011 11:23","no",14,1.23,7.43,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-21,3,22,-4,598,-306,-131,19,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0,-289,110,-124,-368,335,518,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.65784101,-70.78551893,-84.42283544,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,0,-234,49,-269,-557,298,-63,24.9,-63.8,-149,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.03,-0.05,194,205,-215,-17,650,463,"A"
"68",68,"carlitos",1323084234,736315,"05/12/2011 11:23","no",14,1.2,7.28,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.03,-19,2,20,-3,601,-295,-131,18.6,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.02,-288,111,-125,-363,348,518,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.15834491,-70.81598707,-84.52580163,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,0,-233,47,-268,-556,294,-64,24.8,-63.7,-149,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0,194,203,-212,-13,657,473,"A"
"75",75,"carlitos",1323084234,972505,"05/12/2011 11:23","no",14,1.18,7.25,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-19,5,20,-1,606,-308,-131,18.1,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0,-289,110,-122,-368,335,513,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.22402703,-70.19486698,-85.38055864,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,-0.02,-233,44,-272,-556,291,-65,23.4,-63.8,-147,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0.02,195,204,-210,-6,648,466,"A"
"78",78,"carlitos",1323084235,64314,"05/12/2011 11:23","no",15,1.16,7.28,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.03,-21,4,22,-3,608,-312,-131,18,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,0,-290,111,-123,-367,336,523,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.10320545,-70.45974712,-84.89472246,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-233,47,-270,-553,291,-60,23.4,-63.7,-147,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,-0.03,0.03,191,206,-213,-10,654,463,"A"
"85",85,"carlitos",1323084235,288323,"05/12/2011 11:23","no",15,1.06,7.41,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,-0.02,-20,3,21,2,602,-309,-131,17.7,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-290,111,-123,-368,342,514,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.80059675,-70.31304585,-85.11886321,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-233,46,-271,-558,294,-63,23.7,-63.2,-147,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.02,190,207,-215,-15,656,470,"A"
